時間,設備,值
2024-10-19 13:35:05,SA-08/LED_LEVEL,1
2024-10-19 13:35:06,SA-08/LED_LEVEL,0
2024-10-19 13:35:07,SA-08/LED_LEVEL,2
2024-10-19 13:35:08,SA-08/LED_LEVEL,4
2024-10-19 13:35:08,SA-08/LED_LEVEL,5
2024-10-19 13:35:09,SA-08/LED_LEVEL,6
2024-10-19 13:37:16,SA-08/LED_LEVEL,5
2024-10-19 13:37:18,SA-08/LED_LEVEL,4
2024-10-19 13:37:20,SA-08/LED_LEVEL,3
2024-10-19 13:37:21,SA-08/LED_LEVEL,2
2024-10-19 13:37:23,SA-08/LED_LEVEL,3
2024-10-19 13:49:33,SA-08/LED_LEVEL,3
2024-10-19 13:49:44,SA-08/LED_LEVEL,2
2024-10-19 13:49:48,SA-08/LED_LEVEL,3
2024-10-19 13:49:48,SA-08/LED_LEVEL,4
2024-10-19 13:54:07,SA-08/LED_LEVEL,4
2024-10-19 13:57:06,SA-08/LED_LEVEL,3
2024-10-19 13:57:08,SA-08/LED_LEVEL,2
2024-10-19 13:57:10,SA-08/LED_LEVEL,3
2024-10-19 13:57:11,SA-08/LED_LEVEL,4
2024-10-19 13:57:12,SA-08/LED_LEVEL,5
2024-10-19 13:57:13,SA-08/LED_LEVEL,6
2024-10-19 13:57:20,SA-08/LED_LEVEL,5
2024-10-19 13:57:21,SA-08/LED_LEVEL,4
2024-10-19 14:24:40,SA-08/LED_LEVEL,4
2024-10-19 14:24:40,SA-08/TEMP,33.6
2024-10-19 14:24:48,SA-08/LED_LEVEL,5
2024-10-19 14:24:50,SA-08/LED_LEVEL,4
2024-10-19 14:24:51,SA-08/LED_LEVEL,3
2024-10-19 14:24:52,SA-08/LED_LEVEL,2
2024-10-19 14:24:53,SA-08/LED_LEVEL,1
2024-10-19 14:24:54,SA-08/TEMP,34.07
2024-10-19 14:24:55,SA-08/LED_LEVEL,2
2024-10-19 14:24:56,SA-08/LED_LEVEL,3
2024-10-19 14:24:56,SA-08/TEMP,33.6
2024-10-19 14:24:57,SA-08/LED_LEVEL,4
2024-10-19 14:24:58,SA-08/LED_LEVEL,5
2024-10-19 14:24:59,SA-08/LED_LEVEL,6
2024-10-19 14:25:04,SA-08/TEMP,34.07
2024-10-19 14:25:14,SA-08/TEMP,33.6
2024-10-19 14:25:14,SA-08/LED_LEVEL,6
2024-10-19 14:25:20,SA-08/TEMP,34.07
2024-10-19 14:25:24,SA-08/TEMP,33.6
2024-10-19 14:25:36,SA-08/TEMP,34.07
2024-10-19 14:25:38,SA-08/TEMP,33.6
2024-10-19 14:25:42,SA-08/TEMP,34.07
2024-10-19 14:25:44,SA-08/TEMP,33.6
2024-10-19 14:25:45,SA-08/LED_LEVEL,5
2024-10-19 14:25:56,SA-08/LED_LEVEL,4
2024-10-19 14:25:57,SA-08/LED_LEVEL,5
2024-10-19 14:25:58,SA-08/TEMP,34.07
2024-10-19 14:26:00,SA-08/TEMP,33.6
2024-10-19 14:26:00,SA-08/LED_LEVEL,4
2024-10-19 14:26:01,SA-08/LED_LEVEL,5
2024-10-19 14:26:10,SA-08/LED_LEVEL,4
2024-10-19 14:26:11,SA-08/LED_LEVEL,5
2024-10-19 14:26:43,SA-08/LED_LEVEL,5
2024-10-19 14:26:44,SA-08/TEMP,33.6
2024-10-19 14:28:06,SA-08/LED_LEVEL,4
2024-10-19 14:28:06,SA-08/TEMP,33.6
2024-10-19 14:28:08,SA-08/TEMP,34.07
2024-10-19 14:28:09,SA-08/LED_LEVEL,5
2024-10-19 14:28:10,SA-08/TEMP,33.6
2024-10-19 14:28:11,SA-08/LED_LEVEL,6
2024-10-19 14:28:14,SA-08/TEMP,34.07
2024-10-19 14:28:16,SA-08/TEMP,33.6
2024-10-19 14:28:19,SA-08/TEMP,34.07
2024-10-19 14:28:20,SA-08/TEMP,33.6
2024-10-19 14:28:20,SA-08/LED_LEVEL,5
2024-10-19 14:28:22,SA-08/TEMP,34.07
2024-10-19 14:28:24,SA-08/TEMP,33.6
2024-10-19 14:28:26,SA-08/LED_LEVEL,7
2024-10-19 14:28:27,SA-08/LED_LEVEL,8
2024-10-19 14:28:27,SA-08/LED_LEVEL,9
2024-10-19 14:28:28,SA-08/TEMP,34.07
2024-10-19 14:28:32,SA-08/TEMP,33.6
2024-10-19 14:28:36,SA-08/TEMP,34.07
2024-10-19 14:28:38,SA-08/TEMP,33.6
2024-10-19 14:28:40,SA-08/TEMP,34.07
2024-10-19 14:28:46,SA-08/TEMP,33.6
2024-10-19 14:28:48,SA-08/TEMP,34.07
2024-10-19 14:28:50,SA-08/TEMP,33.6
2024-10-19 14:28:52,SA-08/TEMP,34.07
2024-10-19 14:29:04,SA-08/TEMP,33.6
2024-10-19 14:29:06,SA-08/TEMP,34.07
2024-10-19 14:29:08,SA-08/TEMP,33.6
2024-10-19 14:29:12,SA-08/TEMP,34.07
2024-10-19 14:29:14,SA-08/TEMP,33.6
2024-10-19 14:29:16,SA-08/TEMP,34.07
2024-10-19 14:29:20,SA-08/TEMP,33.6
2024-10-19 14:29:32,SA-08/TEMP,34.07
2024-10-19 14:29:34,SA-08/TEMP,33.6
2024-10-19 14:29:36,SA-08/TEMP,34.07
2024-10-19 14:29:38,SA-08/TEMP,33.6
2024-10-19 14:29:42,SA-08/TEMP,34.07
2024-10-19 14:29:44,SA-08/TEMP,33.6
2024-10-19 14:29:46,SA-08/TEMP,34.07
2024-10-19 14:29:48,SA-08/TEMP,33.6
2024-10-19 14:29:54,SA-08/TEMP,34.07
2024-10-19 14:29:56,SA-08/TEMP,33.6
2024-10-19 14:29:58,SA-08/TEMP,34.07
2024-10-19 14:30:00,SA-08/TEMP,33.6
2024-10-19 14:30:02,SA-08/TEMP,34.07
2024-10-19 14:30:06,SA-08/TEMP,33.6
2024-10-19 14:30:14,SA-08/TEMP,34.07
2024-10-19 14:30:16,SA-08/TEMP,33.6
2024-10-19 14:30:18,SA-08/TEMP,34.07
2024-10-19 14:30:22,SA-08/TEMP,33.6
2024-10-19 14:30:24,SA-08/TEMP,34.07
2024-10-19 14:30:26,SA-08/TEMP,33.6
2024-10-19 14:30:28,SA-08/TEMP,34.07
2024-10-19 14:30:42,SA-08/TEMP,33.6
2024-10-19 14:30:44,SA-08/TEMP,34.07
2024-10-19 14:30:46,SA-08/TEMP,33.6
2024-10-19 14:30:52,SA-08/TEMP,34.07
2024-10-19 14:30:54,SA-08/TEMP,33.6
2024-10-19 14:30:59,SA-08/TEMP,34.07
2024-10-19 14:31:08,SA-08/TEMP,33.6
2024-10-19 14:31:14,SA-08/TEMP,34.07
2024-10-19 14:31:22,SA-08/TEMP,33.6
2024-10-19 14:31:28,SA-08/TEMP,34.07
2024-10-19 14:31:32,SA-08/TEMP,33.6
2024-10-19 14:31:36,SA-08/TEMP,34.07
2024-10-19 14:31:38,SA-08/TEMP,33.6
2024-10-19 14:32:04,SA-08/TEMP,34.07
2024-10-19 14:32:06,SA-08/TEMP,33.6
2024-10-19 14:32:08,SA-08/TEMP,34.07
2024-10-19 14:32:14,SA-08/TEMP,33.6
2024-10-19 14:32:16,SA-08/TEMP,34.07
2024-10-19 14:32:18,SA-08/TEMP,33.6
2024-10-19 14:32:26,SA-08/TEMP,34.07
2024-10-19 14:32:28,SA-08/TEMP,33.6
2024-10-19 14:32:30,SA-08/TEMP,34.07
2024-10-19 14:32:32,SA-08/TEMP,33.6
2024-10-19 14:32:46,SA-08/TEMP,34.07
2024-10-19 14:32:48,SA-08/TEMP,33.6
2024-10-19 14:32:52,SA-08/TEMP,34.07
2024-10-19 14:32:54,SA-08/TEMP,33.6
2024-10-19 14:32:56,SA-08/TEMP,34.07
2024-10-19 14:33:10,SA-08/TEMP,33.6
2024-10-19 14:33:24,SA-08/TEMP,34.07
2024-10-19 14:33:26,SA-08/TEMP,33.6
2024-10-19 14:33:46,SA-08/TEMP,34.07
2024-10-19 14:33:48,SA-08/TEMP,33.6
2024-10-19 14:33:52,SA-08/TEMP,34.07
2024-10-19 14:33:57,SA-08/TEMP,33.6
2024-10-19 14:52:13,SA-08/TEMP,34.07
2024-10-19 14:52:13,SA-08/LED_LEVEL,9
2024-10-19 14:52:13,SA-08/LED_LEVEL,9
2024-10-19 14:52:15,SA-08/TEMP,33.6
2024-10-19 14:52:31,SA-08/LED_LEVEL,10
2024-10-19 14:52:31,SA-08/LED_LEVEL,10
2024-10-19 14:52:43,SA-08/TEMP,34.07
2024-10-19 14:52:46,SA-08/LED_LEVEL,9
2024-10-19 14:52:46,SA-08/LED_LEVEL,9
2024-10-19 14:52:46,SA-08/LED_LEVEL,8
2024-10-19 14:52:46,SA-08/LED_LEVEL,8
2024-10-19 14:52:49,SA-08/TEMP,33.6
2024-10-19 14:52:59,SA-08/TEMP,34.07
2024-10-19 14:53:03,SA-08/TEMP,33.6
2024-10-19 14:53:07,SA-08/TEMP,34.07
2024-10-19 14:53:11,SA-08/TEMP,33.6
2024-10-19 14:53:19,SA-08/TEMP,34.07
2024-10-19 14:53:21,SA-08/TEMP,33.6
2024-10-19 14:53:25,SA-08/TEMP,34.07
2024-10-19 14:53:27,SA-08/TEMP,33.6
2024-10-19 14:53:49,SA-08/TEMP,34.07
2024-10-19 14:53:51,SA-08/TEMP,33.6
2024-10-19 14:53:53,SA-08/TEMP,34.07
2024-10-19 14:53:55,SA-08/TEMP,33.6
2024-10-19 14:54:23,SA-08/TEMP,34.07
2024-10-19 14:54:25,SA-08/TEMP,33.6
2024-10-19 14:54:25,SA-08/LED_LEVEL,7
2024-10-19 14:54:25,SA-08/LED_LEVEL,7
2024-10-19 14:54:26,SA-08/LED_LEVEL,6
2024-10-19 14:54:26,SA-08/LED_LEVEL,6
2024-10-19 14:54:28,SA-08/LED_LEVEL,5
2024-10-19 14:54:28,SA-08/LED_LEVEL,5
2024-10-19 14:54:28,SA-08/LED_LEVEL,4
2024-10-19 14:54:28,SA-08/LED_LEVEL,4
2024-10-19 14:54:37,SA-08/TEMP,34.07
2024-10-19 14:54:49,SA-08/TEMP,33.6
2024-10-19 14:54:51,SA-08/TEMP,34.07
2024-10-19 14:54:53,SA-08/TEMP,33.6
2024-10-19 14:54:55,SA-08/TEMP,34.07
2024-10-19 14:54:57,SA-08/TEMP,33.6
2024-10-19 14:54:59,SA-08/TEMP,34.07
2024-10-19 14:55:03,SA-08/TEMP,33.6
2024-10-19 14:55:07,SA-08/TEMP,34.07
2024-10-19 14:55:09,SA-08/TEMP,33.6
2024-10-19 14:55:11,SA-08/TEMP,34.07
2024-10-19 14:55:13,SA-08/TEMP,33.6
2024-10-19 14:55:17,SA-08/TEMP,34.07
2024-10-19 14:55:21,SA-08/TEMP,33.6
2024-10-19 14:55:39,SA-08/TEMP,34.07
2024-10-19 14:55:43,SA-08/TEMP,33.6
2024-10-19 14:55:53,SA-08/TEMP,34.07
2024-10-19 14:55:59,SA-08/TEMP,33.6
2024-10-19 14:56:03,SA-08/TEMP,34.07
2024-10-19 14:56:05,SA-08/TEMP,33.6
2024-10-19 14:56:11,SA-08/TEMP,34.07
2024-10-19 14:56:17,SA-08/TEMP,33.6
2024-10-19 14:56:25,SA-08/TEMP,34.07
2024-10-19 14:56:27,SA-08/TEMP,33.6
2024-10-19 14:56:35,SA-08/TEMP,34.07
2024-10-19 14:56:37,SA-08/TEMP,33.6
2024-10-19 14:57:01,SA-08/TEMP,34.07
2024-10-19 14:57:03,SA-08/TEMP,33.6
2024-10-19 14:57:13,SA-08/TEMP,34.07
2024-10-19 14:57:17,SA-08/TEMP,33.6
2024-10-19 14:57:31,SA-08/TEMP,34.07
2024-10-19 14:57:33,SA-08/TEMP,33.6
2024-10-19 14:57:39,SA-08/TEMP,34.07
2024-10-19 14:57:41,SA-08/TEMP,33.6
2024-10-19 14:57:50,SA-08/TEMP,34.07
2024-10-19 14:57:51,SA-08/TEMP,33.6
2024-10-19 14:57:53,SA-08/TEMP,34.07
2024-10-19 14:57:55,SA-08/TEMP,33.6
2024-10-19 14:57:59,SA-08/TEMP,34.07
2024-10-19 14:58:01,SA-08/TEMP,33.6
2024-10-19 14:58:15,SA-08/TEMP,33.6
2024-10-19 14:58:15,SA-08/LED_LEVEL,4
2024-10-19 14:58:15,SA-08/LED_LEVEL,4
2024-10-19 14:58:28,SA-08/LED_LEVEL,3
2024-10-19 14:58:28,SA-08/LED_LEVEL,3
2024-10-19 14:58:30,SA-08/LED_LEVEL,2
2024-10-19 14:58:31,SA-08/LED_LEVEL,2
2024-10-19 14:58:31,SA-08/TEMP,34.07
2024-10-19 14:58:33,SA-08/TEMP,33.6
2024-10-19 14:58:34,SA-08/LED_LEVEL,3
2024-10-19 14:58:34,SA-08/LED_LEVEL,3
2024-10-19 14:58:49,SA-08/TEMP,34.07
2024-10-19 14:58:51,SA-08/TEMP,33.6
2024-10-19 14:59:01,SA-08/TEMP,34.07
2024-10-19 14:59:03,SA-08/TEMP,33.6
2024-10-19 14:59:19,SA-08/TEMP,33.13
2024-10-19 14:59:21,SA-08/TEMP,33.6
2024-10-19 14:59:27,SA-08/TEMP,34.07
2024-10-19 14:59:29,SA-08/TEMP,33.6
2024-10-19 14:59:31,SA-08/TEMP,34.07
2024-10-19 14:59:33,SA-08/TEMP,33.6
2024-10-19 14:59:47,SA-08/LED_LEVEL,3
2024-10-19 14:59:49,SA-08/TEMP,33.6
2024-10-19 14:59:49,SA-08/LIGHT_LEVEL,1
2024-10-19 14:59:57,SA-08/TEMP,34.07
2024-10-19 14:59:57,SA-08/LIGHT_LEVEL,0
2024-10-19 14:59:59,SA-08/TEMP,33.6
2024-10-19 14:59:59,SA-08/LIGHT_LEVEL,1
2024-10-19 15:00:03,SA-08/TEMP,34.07
2024-10-19 15:00:05,SA-08/TEMP,33.6
2024-10-19 15:00:07,SA-08/TEMP,34.07
2024-10-19 15:00:09,SA-08/TEMP,33.6
2024-10-19 15:00:21,SA-08/TEMP,34.07
2024-10-19 15:00:23,SA-08/TEMP,33.6
2024-10-19 15:00:29,SA-08/TEMP,34.07
2024-10-19 15:00:31,SA-08/TEMP,33.6
2024-10-19 15:00:36,SA-08/TEMP,34.07
2024-10-19 15:00:37,SA-08/TEMP,33.6
2024-10-19 15:00:39,SA-08/TEMP,34.07
2024-10-19 15:00:41,SA-08/TEMP,33.6
2024-10-19 15:00:51,SA-08/TEMP,34.07
2024-10-19 15:00:53,SA-08/TEMP,33.6
2024-10-19 15:01:03,SA-08/TEMP,34.07
2024-10-19 15:01:05,SA-08/TEMP,33.6
2024-10-19 15:01:53,SA-08/TEMP,34.07
2024-10-19 15:01:55,SA-08/TEMP,33.6
2024-10-19 15:01:59,SA-08/TEMP,34.07
2024-10-19 15:02:01,SA-08/TEMP,33.6
2024-10-19 15:02:09,SA-08/TEMP,34.07
2024-10-19 15:02:11,SA-08/TEMP,33.6
2024-10-19 15:02:20,SA-08/TEMP,34.07
2024-10-19 15:02:23,SA-08/TEMP,33.6
2024-10-19 15:02:29,SA-08/TEMP,34.07
2024-10-19 15:02:31,SA-08/TEMP,33.6
2024-10-19 15:02:41,SA-08/TEMP,34.07
2024-10-19 15:02:43,SA-08/TEMP,33.6
2024-10-19 15:02:55,SA-08/TEMP,34.07
2024-10-19 15:02:57,SA-08/TEMP,33.6
2024-10-19 15:02:59,SA-08/TEMP,34.07
2024-10-19 15:03:01,SA-08/TEMP,33.6
2024-10-19 15:03:03,SA-08/TEMP,34.07
2024-10-19 15:03:07,SA-08/TEMP,33.6
2024-10-19 15:03:15,SA-08/TEMP,34.07
2024-10-19 15:03:17,SA-08/TEMP,33.6
2024-10-19 15:03:19,SA-08/TEMP,34.07
2024-10-19 15:03:21,SA-08/TEMP,33.6
2024-10-19 15:03:33,SA-08/TEMP,34.07
2024-10-19 15:03:35,SA-08/TEMP,33.6
2024-10-19 15:03:41,SA-08/TEMP,34.07
2024-10-19 15:03:43,SA-08/TEMP,33.6
2024-10-19 15:03:49,SA-08/TEMP,34.07
2024-10-19 15:03:51,SA-08/TEMP,33.6
2024-10-19 15:04:01,SA-08/TEMP,33.13
2024-10-19 15:04:03,SA-08/TEMP,33.6
2024-10-19 15:04:07,SA-08/TEMP,34.07
2024-10-19 15:04:11,SA-08/TEMP,33.6
2024-10-19 15:04:21,SA-08/TEMP,34.07
2024-10-19 15:04:23,SA-08/TEMP,33.6
2024-10-19 15:04:41,SA-08/TEMP,34.07
2024-10-19 15:04:43,SA-08/TEMP,33.6
2024-10-19 15:04:47,SA-08/TEMP,34.07
2024-10-19 15:04:49,SA-08/TEMP,33.6
2024-10-19 15:04:53,SA-08/TEMP,34.07
2024-10-19 15:04:55,SA-08/TEMP,33.6
2024-10-19 15:05:21,SA-08/TEMP,34.07
2024-10-19 15:05:23,SA-08/TEMP,33.6
2024-10-19 15:05:37,SA-08/TEMP,34.07
2024-10-19 15:05:39,SA-08/TEMP,33.6
2024-10-19 15:05:49,SA-08/TEMP,34.07
2024-10-19 15:05:51,SA-08/TEMP,33.6
2024-10-19 15:06:11,SA-08/TEMP,34.07
2024-10-19 15:06:14,SA-08/TEMP,33.6
2024-10-19 15:06:59,SA-08/TEMP,34.07
2024-10-19 15:07:03,SA-08/TEMP,33.6
2024-10-19 15:07:11,SA-08/TEMP,34.07
2024-10-19 15:07:13,SA-08/TEMP,33.6
2024-10-19 15:07:19,SA-08/TEMP,34.07
2024-10-19 15:07:23,SA-08/TEMP,33.6
2024-10-19 15:07:33,SA-08/TEMP,34.07
2024-10-19 15:07:35,SA-08/TEMP,33.6
2024-10-19 15:08:41,SA-08/TEMP,34.07
2024-10-19 15:08:43,SA-08/TEMP,33.6
2024-10-19 15:09:33,SA-08/TEMP,33.13
2024-10-19 15:09:37,SA-08/TEMP,33.6
2024-10-19 15:10:23,SA-08/TEMP,33.13
2024-10-19 15:10:25,SA-08/TEMP,33.6
2024-10-19 15:11:39,SA-08/TEMP,34.07
2024-10-19 15:11:41,SA-08/TEMP,33.6
2024-10-19 15:11:59,SA-08/TEMP,33.13
2024-10-19 15:12:01,SA-08/TEMP,33.6
2024-10-19 15:12:19,SA-08/TEMP,33.13
2024-10-19 15:12:21,SA-08/TEMP,33.6
2024-10-19 15:12:57,SA-08/TEMP,34.07
2024-10-19 15:12:59,SA-08/TEMP,33.6
2024-10-19 15:13:05,SA-08/TEMP,34.07
2024-10-19 15:13:07,SA-08/TEMP,33.6
2024-10-19 15:15:25,SA-08/TEMP,34.07
2024-10-19 15:15:27,SA-08/TEMP,33.6
2024-10-19 15:15:51,SA-08/TEMP,34.07
2024-10-19 15:15:53,SA-08/TEMP,33.6
2024-10-19 15:16:19,SA-08/TEMP,34.07
2024-10-19 15:16:21,SA-08/TEMP,33.6
2024-10-19 15:16:31,SA-08/TEMP,34.07
2024-10-19 15:16:33,SA-08/TEMP,33.6
2024-10-19 15:16:35,SA-08/TEMP,34.07
2024-10-19 15:16:41,SA-08/TEMP,33.6
2024-10-19 15:16:51,SA-08/TEMP,34.07
2024-10-19 15:16:53,SA-08/TEMP,33.6
2024-10-19 15:17:12,SA-08/TEMP,34.07
2024-10-19 15:17:13,SA-08/TEMP,33.6
2024-10-19 15:17:21,SA-08/TEMP,34.07
2024-10-19 15:17:23,SA-08/TEMP,33.6
2024-10-19 15:17:43,SA-08/TEMP,34.07
2024-10-19 15:17:47,SA-08/TEMP,33.6
2024-10-19 15:18:01,SA-08/TEMP,34.07
2024-10-19 15:18:03,SA-08/TEMP,33.6
2024-10-19 15:18:05,SA-08/TEMP,34.07
2024-10-19 15:18:09,SA-08/TEMP,33.6
2024-10-19 15:18:17,SA-08/TEMP,34.07
2024-10-19 15:18:23,SA-08/TEMP,33.6
2024-10-19 15:18:27,SA-08/TEMP,34.07
2024-10-19 15:18:29,SA-08/TEMP,33.6
2024-10-19 15:18:33,SA-08/TEMP,34.07
2024-10-19 15:18:35,SA-08/TEMP,33.6
2024-10-19 15:18:39,SA-08/TEMP,34.07
2024-10-19 15:18:41,SA-08/TEMP,33.6
2024-10-19 15:18:47,SA-08/TEMP,34.07
2024-10-19 15:18:49,SA-08/TEMP,33.6
2024-10-19 15:18:51,SA-08/TEMP,34.07
2024-10-19 15:18:53,SA-08/TEMP,33.6
2024-10-19 15:18:57,SA-08/TEMP,34.07
2024-10-19 15:19:03,SA-08/TEMP,33.6
2024-10-19 15:19:05,SA-08/TEMP,34.07
2024-10-19 15:19:07,SA-08/TEMP,33.6
2024-10-19 15:19:15,SA-08/TEMP,34.07
2024-10-19 15:19:17,SA-08/TEMP,33.6
2024-10-19 15:19:19,SA-08/TEMP,34.07
2024-10-19 15:19:21,SA-08/TEMP,33.6
2024-10-19 15:19:25,SA-08/TEMP,34.07
2024-10-19 15:19:27,SA-08/TEMP,33.6
2024-10-19 15:19:33,SA-08/TEMP,34.07
2024-10-19 15:19:35,SA-08/TEMP,33.6
2024-10-19 15:19:41,SA-08/TEMP,34.07
2024-10-19 15:19:43,SA-08/TEMP,33.6
2024-10-19 15:19:45,SA-08/TEMP,34.07
2024-10-19 15:19:47,SA-08/TEMP,33.6
2024-10-19 15:19:51,SA-08/TEMP,34.07
2024-10-19 15:19:53,SA-08/TEMP,33.6
2024-10-19 15:20:01,SA-08/TEMP,34.07
2024-10-19 15:20:03,SA-08/TEMP,33.6
2024-10-19 15:20:07,SA-08/TEMP,34.07
2024-10-19 15:20:11,SA-08/TEMP,33.6
2024-10-19 15:20:15,SA-08/TEMP,34.07
2024-10-19 15:20:17,SA-08/TEMP,33.6
2024-10-19 15:20:27,SA-08/TEMP,34.07
2024-10-19 15:20:29,SA-08/TEMP,33.6
2024-10-19 15:20:31,SA-08/TEMP,34.07
2024-10-19 15:20:33,SA-08/TEMP,33.6
2024-10-19 15:20:35,SA-08/TEMP,34.07
2024-10-19 15:20:41,SA-08/TEMP,33.6
2024-10-19 15:20:45,SA-08/TEMP,34.53
2024-10-19 15:20:50,SA-08/TEMP,34.07
2024-10-19 15:20:50,SA-08/TEMP,33.6
2024-10-19 15:20:55,SA-08/TEMP,34.07
2024-10-19 15:20:57,SA-08/TEMP,33.6
2024-10-19 15:20:59,SA-08/TEMP,34.07
2024-10-19 15:21:02,SA-08/TEMP,33.6
